Point,-11.9743,-77.0711,23
Point,-11.9791,-77.0725,13
Point,-11.9788,-77.0768,5
Point,-11.9824,-77.0446,14
Point,-11.9806,-77.0398,14
Point,-11.9846,-77.0403,14
Point,-11.9815,-77.0444,14
Point,-11.9831,-77.0384,14
Point,-11.985,-77.0402,14
Point,-11.9835,-77.0383,14
Point,-11.9841,-77.0402,14
Point,-11.9841,-77.0397,14
Point,-11.9837,-77.0398,14
Point,-11.9809,-77.0391,14
Point,-11.9819,-77.0452,14
Point,-11.9844,-77.0411,14
Point,-11.9852,-77.0417,14
Point,-11.9854,-77.0402,14
Point,-11.9856,-77.0416,14
Point,-11.9827,-77.0403,14
Point,-11.9822,-77.0416,14
Point,-11.9818,-77.0365,14
Point,-11.9815,-77.0368,14
Point,-11.9812,-77.0373,14
Point,-11.9864,-77.0399,14
Point,-11.9858,-77.0402,14
Point,-11.9829,-77.0387,14
Point,-11.984,-77.0378,14
Point,-11.9786,-77.039,14
Point,-11.9833,-77.0393,14
Point,-11.9828,-77.0389,14
Point,-11.9815,-77.0383,14
Point,-11.9811,-77.041,14
Point,-11.9819,-77.0426,14
Point,-11.9814,-77.0439,14
Point,-11.9836,-77.0406,14
Point,-11.9815,-77.0372,14
Point,-11.9817,-77.0438,14
Point,-11.9848,-77.0404,14
